"Gene.Name","Gene.ID.x","log2FoldChange","padj","Gene.ID.y","atlas_log2FC","direction_R","direction_ATLAS","match"
"Abhd4","ENSMUSG00000040997",-0.390530585260239,0.651243376373216,"ENSMUSG00000040997",-0.4,"Down","Down",TRUE
"Abhd5","ENSMUSG00000032540",0.30301283722062,0.860146135970841,"ENSMUSG00000032540",0.3,"Up","Up",TRUE
"Abhd6","ENSMUSG00000025277",-0.915095526437393,0.176212176419142,"ENSMUSG00000025277",-0.8,"Down","Down",TRUE
"Abi1","ENSMUSG00000058835",0.369992080885209,0.51482935285804,"ENSMUSG00000058835",0.4,"Up","Up",TRUE
"Abi3bp","ENSMUSG00000035258",-0.768248775339956,0.87607774208063,"ENSMUSG00000035258",-0.4,"Down","Down",TRUE
"Abitram","ENSMUSG00000038827",-0.206914785625308,0.980388620275529,"ENSMUSG00000038827",-0.2,"Down","Down",TRUE
"Abl1","ENSMUSG00000026842",-0.118081561410965,0.951573402899073,"ENSMUSG00000026842",-0.1,"Down","Down",TRUE
"Abl2","ENSMUSG00000026596",0.258937754735425,0.844066974536733,"ENSMUSG00000026596",0.3,"Up","Up",TRUE
"Ablim1","ENSMUSG00000025085",-0.475489158772748,0.311113870066761,"ENSMUSG00000025085",-0.5,"Down","Down",TRUE
"Ablim2","ENSMUSG00000029095",-1.5963479214907,0.462707129774645,"ENSMUSG00000029095",-0.8,"Down","Down",TRUE
"Abo","ENSMUSG00000015787",1.6588720501371,0.354586490115542,"ENSMUSG00000015787",1.2,"Up","Up",TRUE
"Abr","ENSMUSG00000017631",0.0876119856999886,0.956392473391604,"ENSMUSG00000017631",0.1,"Up","Up",TRUE
"Abracl","ENSMUSG00000078453",-0.361952951791699,0.915785624170799,"ENSMUSG00000078453",-0.3,"Down","Down",TRUE
"Abraxas2","ENSMUSG00000030965",-0.159164860376944,0.961411146457578,"ENSMUSG00000030965",-0.2,"Down","Down",TRUE
"Abt1","ENSMUSG00000036376",1.10000949349196,0.703426562191188,"ENSMUSG00000036376",0.6,"Up","Up",TRUE
"Abtb1","ENSMUSG00000030083",-0.201530305794335,0.957838904891184,"ENSMUSG00000030083",-0.2,"Down","Down",TRUE
"Abtb2","ENSMUSG00000032724",2.37388668192002,0.0173426959350445,"ENSMUSG00000032724",1.7,"Up","Up",TRUE
"Acaa1a","ENSMUSG00000036138",-0.650757000795212,0.650416797403453,"ENSMUSG00000036138",-0.5,"Down","Down",TRUE
"Acaa1b","ENSMUSG00000010651",-0.69300624789818,0.750144729258636,"ENSMUSG00000010651",-0.5,"Down","Down",TRUE
"Acaa2","ENSMUSG00000036880",-0.50208884591249,0.47001765182421,"ENSMUSG00000036880",-0.5,"Down","Down",TRUE
"Acaca","ENSMUSG00000020532",-0.367403170392771,0.728260970426082,"ENSMUSG00000020532",-0.3,"Down","Down",TRUE
"Acacb","ENSMUSG00000042010",0.255923462821193,0.884110617850564,"ENSMUSG00000042010",0.2,"Up","Up",TRUE
"Acad10","ENSMUSG00000029456",-0.272694187323178,0.963788928668697,"ENSMUSG00000029456",-0.2,"Down","Down",TRUE
"Acad11","ENSMUSG00000090150",-0.351336876033407,0.656780855944085,"ENSMUSG00000090150",-0.3,"Down","Down",TRUE
"Acad12","ENSMUSG00000042647",-0.157971375348044,0.977789657841989,"ENSMUSG00000042647",-0.1,"Down","Down",TRUE
"Acad8","ENSMUSG00000031969",0.118857520900965,0.978423968472967,"ENSMUSG00000031969",0.1,"Up","Up",TRUE
"Acad9","ENSMUSG00000027710",-0.756434959607498,0.436669934447682,"ENSMUSG00000027710",-0.6,"Down","Down",TRUE
"Acadl","ENSMUSG00000026003",0.24464915360876,0.84903872985172,"ENSMUSG00000026003",0.3,"Up","Up",TRUE
"Acadm","ENSMUSG00000062908",-0.261594547772091,0.827101625049386,"ENSMUSG00000062908",-0.2,"Down","Down",TRUE
"Acads","ENSMUSG00000029545",-0.352279586310592,0.668649980201456,"ENSMUSG00000029545",-0.3,"Down","Down",TRUE
"Acadvl","ENSMUSG00000018574",-0.098049891564456,0.971053916370355,"ENSMUSG00000018574",-0.1,"Down","Down",TRUE
"Acap2","ENSMUSG00000049076",0.407029433289592,0.401497508534436,"ENSMUSG00000049076",0.4,"Up","Up",TRUE
"Acap3","ENSMUSG00000029033",-0.111853901363876,0.992809839872365,"ENSMUSG00000029033",-0.1,"Down","Down",TRUE
"Acbd3","ENSMUSG00000026499",-0.151211165846468,0.905138865468701,"ENSMUSG00000026499",-0.1,"Down","Down",TRUE
"Acbd4","ENSMUSG00000056938",0.873222293892994,0.638654614671504,"ENSMUSG00000056938",0.6,"Up","Up",TRUE
"Acbd5","ENSMUSG00000026781",-0.250010452499828,0.793735220955666,"ENSMUSG00000026781",-0.2,"Down","Down",TRUE
